Round,TeamHT,TeamVT,ScoreHalf,ScoreFull,OddsHT,OddsX,OddsVT,Country,League
1,Blackburn,Wolverhampton,0.0,1:2,,,,England,Premier League
1,Fulham,Aston Villa,0.0,0:0,,,,England,Premier League
1,Liverpool,Sunderland,0.0,1:1,,,,England,Premier League
1,Man. City,Swansea,0.0,4:0,,,,England,Premier League
1,Newcastle,Arsenal,0.0,0:0,,,,England,Premier League
1,QPR,Bolton,0.0,0:4,,,,England,Premier League
1,Stoke,Chelsea,0.0,0:0,,,,England,Premier League
1,Tottenham,Everton,0.0,2:0,,,,England,Premier League
1,West Bromwich,Man. Utd,0.0,1:2,,,,England,Premier League
1,Wigan,Norwich,0.0,1:1,,,,England,Premier League
2,Bolton,Man. City,3.0,2:3,1.0,0.0,1.0,England,Premier League
2,Man. Utd,Tottenham,3.0,3:0,1.0,0.0,1.0,England,Premier League
2,Wolverhampton,Fulham,1.0,2:0,1.0,0.0,0.0,England,Premier League
2,Norwich,Stoke,1.0,1:1,0.0,1.0,0.0,England,Premier League
2,Sunderland,Newcastle,1.0,0:1,0.0,1.0,0.0,England,Premier League
2,Arsenal,Liverpool,1.0,0:2,0.0,1.0,0.0,England,Premier League
2,Aston Villa,Blackburn,0.0,3:1,0.0,1.0,0.0,England,Premier League
2,Chelsea,West Bromwich,0.0,2:1,0.0,1.0,0.0,England,Premier League
2,Everton,QPR,0.0,0:1,0.0,0.0,0.0,England,Premier League
2,Swansea,Wigan,1.0,0:0,0.0,0.0,0.0,England,Premier League
3,Man. Utd,Arsenal,1.0,8:2,1.0,0.0,0.0,England,Premier League
3,Aston Villa,Wolverhampton,6.0,0:0,0.5,0.5,1.0,England,Premier League
3,Liverpool,Bolton,3.0,3:1,0.5,0.5,0.5,England,Premier League
3,Chelsea,Norwich,2.0,3:1,0.5,0.5,0.0,England,Premier League
3,Newcastle,Fulham,1.0,2:1,0.5,0.5,0.0,England,Premier League
3,Tottenham,Man. City,6.0,1:5,0.5,0.0,1.0,England,Premier League
3,Wigan,QPR,3.0,2:0,0.0,1.0,0.5,England,Premier League
3,Swansea,Sunderland,1.0,0:0,0.0,0.5,0.0,England,Premier League
3,West Bromwich,Stoke,2.0,0:1,0.0,0.0,0.0,England,Premier League
3,Blackburn,Everton,0.0,0:1,0.0,0.0,0.0,England,Premier League
4,Man. City,Wigan,5.0,3:0,1.0,0.0,0.3333333333333333,England,Premier League
4,Wolverhampton,Tottenham,3.0,0:2,0.6666666666666666,0.3333333333333333,0.3333333333333333,England,Premier League
4,Stoke,Liverpool,7.0,1:0,0.3333333333333333,0.6666666666666666,0.6666666666666666,England,Premier League
4,Bolton,Man. Utd,9.0,0:5,0.3333333333333333,0.0,1.0,England,Premier League
4,Everton,Aston Villa,5.0,2:2,0.3333333333333333,0.0,0.3333333333333333,England,Premier League
4,QPR,Newcastle,7.0,0:0,0.3333333333333333,0.0,0.6666666666666666,England,Premier League
4,Sunderland,Chelsea,7.0,1:2,0.0,0.6666666666666666,0.6666666666666666,England,Premier League
4,Norwich,West Bromwich,0.0,0:1,0.0,0.6666666666666666,0.0,England,Premier League
4,Fulham,Blackburn,0.0,1:1,0.0,0.3333333333333333,0.0,England,Premier League
